variable,vertex_u,vertex_v
x0,0,1
x1,0,2
x2,0,4
x3,0,8
x4,0,16
x5,0,32
x6,1,3
x7,1,5
x8,1,9
x9,1,17
x10,1,33
x11,2,3
x12,2,6
x13,2,10
x14,2,18
x15,2,34
x16,3,7
x17,3,11
x18,3,19
x19,3,35
x20,4,5
x21,4,6
x22,4,12
x23,4,20
x24,4,36
x25,5,7
x26,5,13
x27,5,21
x28,5,37
x29,6,7
x30,6,14
x31,6,22
x32,6,38
x33,7,15
x34,7,23
x35,7,39
x36,8,9
x37,8,10
x38,8,12
x39,8,24
x40,8,40
x41,9,11
x42,9,13
x43,9,25
x44,9,41
x45,10,11
x46,10,14
x47,10,26
x48,10,42
x49,11,15
x50,11,27
x51,11,43
x52,12,13
x53,12,14
x54,12,28
x55,12,44
x56,13,15
x57,13,29
x58,13,45
x59,14,15
x60,14,30
x61,14,46
x62,15,31
x63,15,47
x64,16,17
x65,16,18
x66,16,20
x67,16,24
x68,16,48
x69,17,19
x70,17,21
x71,17,25
x72,17,49
x73,18,19
x74,18,22
x75,18,26
x76,18,50
x77,19,23
x78,19,27
x79,19,51
x80,20,21
x81,20,22
x82,20,28
x83,20,52
x84,21,23
x85,21,29
x86,21,53
x87,22,23
x88,22,30
x89,22,54
x90,23,31
x91,23,55
x92,24,25
x93,24,26
x94,24,28
x95,24,56
x96,25,27
x97,25,29
x98,25,57
x99,26,27
x100,26,30
x101,26,58
x102,27,31
x103,27,59
x104,28,29
x105,28,30
x106,28,60
x107,29,31
x108,29,61
x109,30,31
x110,30,62
x111,31,63
x112,32,33
x113,32,34
x114,32,36
x115,32,40
x116,32,48
x117,33,35
x118,33,37
x119,33,41
x120,33,49
x121,34,35
x122,34,38
x123,34,42
x124,34,50
x125,35,39
x126,35,43
x127,35,51
x128,36,37
x129,36,38
x130,36,44
x131,36,52
x132,37,39
x133,37,45
x134,37,53
x135,38,39
x136,38,46
x137,38,54
x138,39,47
x139,39,55
x140,40,41
x141,40,42
x142,40,44
x143,40,56
x144,41,43
x145,41,45
x146,41,57
x147,42,43
x148,42,46
x149,42,58
x150,43,47
x151,43,59
x152,44,45
x153,44,46
x154,44,60
x155,45,47
x156,45,61
x157,46,47
x158,46,62
x159,47,63
x160,48,49
x161,48,50
x162,48,52
x163,48,56
x164,49,51
x165,49,53
x166,49,57
x167,50,51
x168,50,54
x169,50,58
x170,51,55
x171,51,59
x172,52,53
x173,52,54
x174,52,60
x175,53,55
x176,53,61
x177,54,55
x178,54,62
x179,55,63
x180,56,57
x181,56,58
x182,56,60
x183,57,59
x184,57,61
x185,58,59
x186,58,62
x187,59,63
x188,60,61
x189,60,62
x190,61,63
x191,62,63
