target,target_histogram,seed,iterations_requested,iterations_used,hit,best_distance,best_histogram,best_spins
A,"{""2"":30,""6"":2}",20260900,300000,300000,0,16,"{""-4"":4,""0"":4,""2"":23,""6"":1}",1101111111101110101001000110110000001100011100110011000110000011
A,"{""2"":30,""6"":2}",20260901,300000,300000,0,16,"{""-4"":2,""0"":4,""2"":23,""4"":2,""6"":1}",0011000011110001010010111010000001000011010000110000111000000011
A,"{""2"":30,""6"":2}",20260902,300000,300000,0,16,"{""0"":6,""2"":22,""4"":2,""6"":2}",0100000000011011111000011010110000111111110011000111011100001110
A,"{""2"":30,""6"":2}",20260903,300000,300000,0,16,"{""-4"":1,""0"":6,""2"":22,""4"":1,""6"":2}",1011110011001011001101000011110111000011000010101011101101010000
A,"{""2"":30,""6"":2}",20260904,300000,300000,0,16,"{""-4"":2,""0"":4,""2"":23,""4"":2,""6"":1}",0001111111110011001001000001010000010110111111010011001100001011
A,"{""2"":30,""6"":2}",20260905,300000,300000,0,16,"{""-4"":1,""0"":4,""2"":23,""4"":3,""6"":1}",0001111000011111001100111101101111010001110010101011010011111100
A,"{""2"":30,""6"":2}",20260906,300000,300000,0,16,"{""0"":6,""2"":22,""4"":2,""6"":2}",1111101100011011000001101110111011100000100011011100100000010011
A,"{""2"":30,""6"":2}",20260907,300000,300000,0,16,"{""-4"":2,""0"":4,""2"":23,""4"":2,""6"":1}",1000111011110101111101110100001111101110010000111101101111100000
A,"{""2"":30,""6"":2}",20260908,300000,300000,0,16,"{""-4"":1,""0"":6,""2"":22,""4"":1,""6"":2}",0100111100001100101111111001111100101100110010110000111111001110
A,"{""2"":30,""6"":2}",20260909,300000,300000,0,16,"{""-4"":4,""0"":2,""2"":24,""4"":2}",1000010010101100010010110110000001110100010110111111110100101100
A,"{""2"":30,""6"":2}",20260910,300000,300000,0,16,"{""-4"":1,""0"":6,""2"":22,""4"":1,""6"":2}",0001010001110110111110011100000110111101111100011110110011100000
A,"{""2"":30,""6"":2}",20260911,300000,300000,0,16,"{""-4"":1,""0"":6,""2"":22,""4"":1,""6"":2}",0110000000001111011000100001101100110001000100111101110000110001
