target,target_histogram,seed,iterations_requested,iterations_used,hit,best_distance,best_histogram,best_spins
C,"{""0"":2,""2"":24,""4"":6}",20261100,60000,40411,1,0,"{""0"":2,""2"":24,""4"":6}",0000000111100000010000000011000111101100000101001100001111001010
C,"{""0"":2,""2"":24,""4"":6}",20261101,60000,39615,1,0,"{""0"":2,""2"":24,""4"":6}",1011111101010011100011101100001111001110111001000001001111101010
C,"{""0"":2,""2"":24,""4"":6}",20261102,60000,38644,1,0,"{""0"":2,""2"":24,""4"":6}",0011010001000000000111110001011010111111110011101001001111111011
C,"{""0"":2,""2"":24,""4"":6}",20261103,60000,40470,1,0,"{""0"":2,""2"":24,""4"":6}",1011111111111100110000101110101111011111110011100011010001000000
C,"{""0"":2,""2"":24,""4"":6}",20261104,60000,39142,1,0,"{""0"":2,""2"":24,""4"":6}",0001011011111011000111110110010000111111010011100100001100001110
C,"{""0"":2,""2"":24,""4"":6}",20261105,60000,37656,1,0,"{""0"":2,""2"":24,""4"":6}",0001001101110001000011101110001111111011110000111011000011001011
C,"{""0"":2,""2"":24,""4"":6}",20261106,60000,40631,1,0,"{""0"":2,""2"":24,""4"":6}",1111000111110001000111101111111110101100010000111100110010110101
C,"{""0"":2,""2"":24,""4"":6}",20261107,60000,42366,1,0,"{""0"":2,""2"":24,""4"":6}",1111110000010101001101000001001110011111110000111011111001010011
C,"{""0"":2,""2"":24,""4"":6}",20261108,60000,36341,1,0,"{""0"":2,""2"":24,""4"":6}",0001001111111011111011000000010000011011111110110111000000111101
C,"{""0"":2,""2"":24,""4"":6}",20261109,60000,35476,1,0,"{""0"":2,""2"":24,""4"":6}",0000111100110100101011001110000001000010000000110011101100010011
C,"{""0"":2,""2"":24,""4"":6}",20261110,60000,40479,1,0,"{""0"":2,""2"":24,""4"":6}",0011011100010111110011101110000100011110000100110111000110001100
C,"{""0"":2,""2"":24,""4"":6}",20261111,60000,40756,1,0,"{""0"":2,""2"":24,""4"":6}",1011110011110001010000010110000011000000111000011111101100010011
C,"{""0"":2,""2"":24,""4"":6}",20261112,60000,41751,1,0,"{""0"":2,""2"":24,""4"":6}",1010110000000111110000001011000101001100001100010000010011101100
C,"{""0"":2,""2"":24,""4"":6}",20261113,60000,36288,1,0,"{""0"":2,""2"":24,""4"":6}",1100101011100001000011100001011111110011111110111001111011111111
C,"{""0"":2,""2"":24,""4"":6}",20261114,60000,41418,1,0,"{""0"":2,""2"":24,""4"":6}",1001111111101110111100010011000100110100111111000100001101001010
C,"{""0"":2,""2"":24,""4"":6}",20261115,60000,35768,1,0,"{""0"":2,""2"":24,""4"":6}",0100000000000001001100010001111111101110100111110000011101001110
C,"{""0"":2,""2"":24,""4"":6}",20261116,60000,39192,1,0,"{""0"":2,""2"":24,""4"":6}",0100101001000011000000110100001100110011110110110100001100001110
C,"{""0"":2,""2"":24,""4"":6}",20261117,60000,43022,1,0,"{""0"":2,""2"":24,""4"":6}",0100001100001110000011100011001100110001110011000001000001011011
C,"{""0"":2,""2"":24,""4"":6}",20261118,60000,42262,1,0,"{""0"":2,""2"":24,""4"":6}",0101001100011011101111101100111100111111000111110100000010101100
C,"{""0"":2,""2"":24,""4"":6}",20261119,60000,41725,1,0,"{""0"":2,""2"":24,""4"":6}",0101000110111100001100000011000100110001010010100000010011001100
