index_a,index_b,rank_a,rank_b,distance
0,184,1,2,6
1,8,3,7,6
1,9,3,5,6
1,10,3,7,6
1,20,3,5,6
1,27,3,5,6
1,41,3,7,6
1,63,3,7,6
2,45,4,3,6
2,96,4,2,6
2,165,4,2,6
3,4,2,4,6
3,11,2,4,6
3,38,2,5,6
3,84,2,10,6
3,93,2,10,6
3,127,2,6,6
3,158,2,1,6
3,294,2,1,6
4,5,4,2,6
4,15,4,12,6
4,19,4,12,6
4,116,4,3,6
4,163,4,9,6
4,269,4,12,6
5,6,2,1,6
5,7,2,10,6
5,12,2,5,6
5,16,2,4,6
5,115,2,6,6
5,127,2,6,6
6,31,1,13,6
6,40,1,8,6
6,56,1,8,6
7,15,10,12,6
7,22,10,2,6
7,180,10,12,6
8,13,7,9,6
8,18,7,3,6
8,103,7,9,6
8,108,7,3,6
8,155,7,3,6
8,290,7,3,6
9,14,5,3,6
9,17,5,11,6
9,18,5,3,6
9,21,5,3,6
9,104,5,11,6
9,129,5,3,6
9,298,5,3,6
10,14,7,3,6
10,45,7,3,6
10,52,7,3,6
10,244,7,3,6
11,45,4,3,6
11,57,4,9,6
11,163,4,9,6
12,22,5,2,6
12,32,5,3,6
12,61,5,2,6
12,62,5,11,6
12,75,5,11,6
12,87,5,3,6
12,98,5,3,6
12,116,5,3,6
12,187,5,3,6
12,226,5,2,6
12,287,5,2,6
14,29,3,7,6
14,59,3,5,6
14,76,3,5,6
15,24,12,4,6
15,26,12,19,6
15,86,12,19,6
15,282,12,17,6
16,31,4,13,6
16,36,4,9,6
16,55,4,2,6
16,87,4,3,6
17,20,11,5,6
17,25,11,5,6
17,59,11,5,6
17,90,11,5,6
17,122,11,18,6
17,124,11,5,6
17,150,11,5,6
18,23,3,7,6
18,29,3,7,6
18,71,3,5,6
18,124,3,5,6
19,84,12,10,6
19,86,12,19,6
19,117,12,17,6
20,54,5,3,6
20,73,5,3,6
20,244,5,3,6
20,254,5,11,6
21,23,3,7,6
21,25,3,5,6
21,63,3,7,6
21,91,3,7,6
21,209,3,5,6
21,214,3,7,6
22,24,2,4,6
22,100,2,6,6
22,249,2,6,6
23,30,7,3,6
23,32,7,3,6
23,47,7,3,6
23,98,7,3,6
23,257,7,3,6
23,290,7,3,6
24,28,4,2,6
24,83,4,12,6
24,116,4,3,6
24,137,4,2,6
24,291,4,9,6
25,30,5,3,6
25,54,5,3,6
25,131,5,3,6
25,212,5,3,6
25,248,5,11,6
26,83,19,12,6
26,95,19,16,6
26,132,19,12,6
26,269,19,12,6
26,303,19,16,6
27,65,5,3,6
27,92,5,3,6
27,104,5,11,6
27,108,5,3,6
27,254,5,11,6
28,34,2,5,6
28,35,2,1,6
28,148,2,6,6
28,249,2,6,6
29,32,7,3,6
29,123,7,3,6
29,187,7,3,6
30,68,3,7,6
30,114,3,7,6
30,124,3,5,6
30,179,3,7,6
31,33,13,14,6
31,164,13,1,6
32,53,3,4,6
32,114,3,7,6
32,153,3,5,6
32,231,3,4,6
32,300,3,5,6
33,144,14,13,6
33,149,14,13,6
33,162,14,9,6
34,50,5,3,6
34,69,5,2,6
34,70,5,2,6
34,75,5,11,6
34,80,5,2,6
34,88,5,11,6
34,107,5,3,6
34,116,5,3,6
34,136,5,2,6
34,161,5,3,6
34,185,5,2,6
34,273,5,2,6
35,37,1,13,6
35,70,1,2,6
36,46,9,4,6
36,114,9,7,6
37,147,13,14,6
37,175,13,1,6
37,222,13,4,6
38,39,5,3,6
38,45,5,3,6
38,52,5,3,6
38,62,5,11,6
38,77,5,2,6
38,88,5,11,6
38,116,5,3,6
38,118,5,2,6
38,135,5,2,6
38,137,5,2,6
38,157,5,3,6
38,160,5,2,6
38,308,5,2,6
39,41,3,7,6
39,42,3,4,6
39,44,3,7,6
39,63,3,7,6
39,72,3,4,6
39,79,3,7,6
39,91,3,7,6
39,263,3,5,6
40,43,8,1,6
40,48,8,15,6
40,60,8,1,6
40,115,8,6,6
40,221,8,1,6
41,52,7,3,6
41,65,7,3,6
41,73,7,3,6
41,129,7,3,6
41,155,7,3,6
42,241,4,2,6
43,69,1,2,6
43,144,1,13,6
44,54,7,3,6
44,73,7,3,6
44,233,7,3,6
45,49,3,7,6
45,63,3,7,6
45,153,3,5,6
45,237,3,5,6
46,55,4,2,6
46,57,4,9,6
46,275,4,2,6
47,68,3,7,6
47,82,3,4,6
47,146,3,7,6
47,214,3,7,6
47,264,3,5,6
47,300,3,5,6
47,310,3,5,6
48,66,15,8,6
48,89,15,8,6
49,51,7,3,6
49,92,7,3,6
49,119,7,3,6
49,157,7,3,6
49,203,7,3,6
50,112,3,7,6
50,133,3,7,6
50,143,3,4,6
50,206,3,4,6
50,285,3,7,6
51,74,3,7,6
51,133,3,7,6
51,237,3,5,6
52,94,3,5,6
52,128,3,7,6
52,283,3,5,6
53,61,4,2,6
53,224,4,9,6
54,63,3,7,6
54,288,3,7,6
55,127,2,6,6
55,164,2,1,6
55,253,2,10,6
56,58,8,1,6
56,127,8,6,6
56,158,8,1,6
56,164,8,1,6
56,173,8,6,6
57,176,9,4,6
58,141,1,8,6
59,64,5,11,6
59,123,5,3,6
59,212,5,3,6
59,244,5,3,6
59,305,5,3,6
60,78,1,2,6
60,190,1,8,6
60,194,1,2,6
61,67,2,10,6
61,295,2,6,6
62,100,11,6,6
62,126,11,6,6
62,127,11,6,6
62,153,11,5,6
62,170,11,18,6
62,173,11,6,6
62,283,11,5,6
63,92,7,3,6
63,290,7,3,6
64,76,11,5,6
64,109,11,5,6
64,122,11,18,6
65,79,3,7,6
65,272,3,7,6
66,115,8,6,6
66,186,8,6,6
67,105,10,12,6
67,302,10,2,6
68,81,7,3,6
68,131,7,3,6
68,151,7,3,6
69,169,2,4,6
69,192,2,10,6
69,206,2,4,6
70,192,2,10,6
70,222,2,4,6
71,104,5,11,6
71,108,5,3,6
71,218,5,11,6
71,257,5,3,6
72,135,4,2,6
72,138,4,2,6
72,183,4,2,6
73,128,3,7,6
73,150,3,5,6
74,92,7,3,6
74,258,7,3,6
75,99,11,6,6
75,101,11,6,6
75,115,11,6,6
75,170,11,18,6
75,249,11,6,6
75,261,11,6,6
75,280,11,6,6
75,295,11,6,6
75,300,11,5,6
75,310,11,5,6
76,104,5,11,6
76,119,5,3,6
77,200,2,4,6
77,294,2,1,6
77,307,2,10,6
78,195,2,4,6
79,92,7,3,6
79,157,7,3,6
80,101,2,6,6
80,172,2,1,6
80,199,2,10,6
81,125,3,5,6
81,264,3,5,6
81,288,3,7,6
82,85,4,2,6
82,242,4,9,6
82,245,4,2,6
83,171,12,10,6
83,205,12,4,6
84,130,10,12,6
84,135,10,2,6
85,99,2,6,6
85,110,2,1,6
85,198,2,1,6
85,300,2,5,6
86,95,19,16,6
86,130,19,12,6
86,180,19,12,6
87,114,3,7,6
87,139,3,4,6
87,179,3,7,6
87,182,3,7,6
87,289,3,4,6
88,94,11,5,6
88,97,11,6,6
88,140,11,6,6
88,148,11,6,6
88,168,11,6,6
88,170,11,18,6
88,228,11,6,6
88,237,11,5,6
88,263,11,5,6
89,186,8,6,6
90,131,5,3,6
90,151,5,3,6
90,217,5,11,6
90,298,5,3,6
91,98,7,3,6
91,116,7,3,6
91,129,7,3,6
92,209,3,5,6
93,106,10,2,6
93,113,10,2,6
93,118,10,2,6
93,132,10,12,6
93,269,10,12,6
94,107,5,3,6
94,265,5,11,6
94,277,5,2,6
96,153,2,5,6
96,231,2,4,6
97,111,6,8,6
97,134,6,2,6
97,136,6,2,6
97,152,6,2,6
97,201,6,8,6
97,246,6,8,6
98,179,3,7,6
98,188,3,4,6
98,220,3,4,6
98,310,3,5,6
99,102,6,8,6
99,120,6,8,6
99,178,6,2,6
99,190,6,8,6
99,194,6,2,6
99,245,6,2,6
100,137,6,2,6
100,181,6,11,6
100,227,6,2,6
101,229,6,2,6
102,250,8,1,6
103,156,9,20,6
103,239,9,4,6
104,122,11,18,6
104,209,11,5,6
105,235,12,10,6
106,126,2,6,6
106,127,2,6,6
106,240,2,4,6
106,281,2,5,6
108,156,3,20,6
108,272,3,7,6
109,119,5,3,6
109,203,5,3,6
109,212,5,3,6
109,248,5,11,6
110,120,1,8,6
111,228,8,6,6
113,281,2,5,6
114,123,7,3,6
114,212,7,3,6
115,166,6,11,6
115,194,6,2,6
116,205,3,4,6
116,285,3,7,6
117,159,17,16,6
118,126,2,6,6
118,171,2,10,6
118,205,2,4,6
118,306,2,1,6
119,133,3,7,6
119,209,3,5,6
119,285,3,7,6
120,121,8,15,6
120,295,8,6,6
121,145,15,8,6
121,174,15,8,6
122,217,18,11,6
122,218,18,11,6
122,248,18,11,6
122,254,18,11,6
123,124,3,5,6
123,182,3,7,6
124,151,5,3,6
124,218,5,11,6
125,275,5,2,6
126,226,6,2,6
126,238,6,8,6
127,141,6,8,6
127,166,6,11,6
128,215,7,3,6
128,243,7,9,6
128,244,7,3,6
128,296,7,9,6
128,305,7,3,6
129,150,3,5,6
130,191,12,10,6
131,214,3,7,6
131,288,3,7,6
132,171,12,10,6
132,240,12,4,6
133,247,7,3,6
134,199,2,10,6
134,301,2,1,6
135,191,2,10,6
135,219,2,1,6
135,228,2,6,6
136,143,2,4,6
136,199,2,10,6
136,261,2,6,6
137,148,2,6,6
137,171,2,10,6
137,191,2,10,6
139,226,4,2,6
140,185,6,2,6
140,278,6,2,6
141,142,8,1,6
144,169,13,4,6
144,193,13,4,6
145,295,8,6,6
146,242,7,9,6
146,247,7,3,6
146,257,7,3,6
146,258,7,3,6
147,276,14,9,6
148,181,6,11,6
149,158,13,1,6
149,164,13,1,6
149,197,13,4,6
150,305,5,3,6
153,154,5,2,6
153,290,5,3,6
154,286,2,4,6
155,272,3,7,6
155,283,3,5,6
156,167,20,9,6
156,189,20,9,6
156,292,20,9,6
157,285,3,7,6
158,160,1,2,6
160,173,2,6,6
160,197,2,4,6
160,309,2,10,6
161,169,3,4,6
161,193,3,4,6
161,222,3,4,6
162,169,9,4,6
162,197,9,4,6
165,237,2,5,6
166,170,11,18,6
166,186,11,6,6
166,213,11,6,6
166,232,11,5,6
166,262,11,6,6
166,281,11,5,6
167,286,9,4,6
168,270,6,8,6
169,177,4,9,6
169,234,4,2,6
170,181,18,11,6
170,255,18,11,6
170,265,18,11,6
174,204,8,6,6
176,275,4,2,6
177,206,9,4,6
179,196,7,9,6
179,233,7,3,6
180,297,12,4,6
181,202,11,6,6
181,216,11,5,6
181,232,11,5,6
181,249,11,6,6
182,187,7,3,6
182,215,7,3,6
182,236,7,9,6
182,305,7,3,6
183,228,2,6,6
183,263,2,5,6
185,295,2,6,6
186,210,6,8,6
186,284,6,2,6
187,274,3,4,6
187,283,3,5,6
189,272,9,7,6
194,304,2,1,6
195,260,4,2,6
196,220,9,4,6
197,234,4,2,6
199,229,10,2,6
200,223,4,12,6
200,296,4,9,6
201,252,8,15,6
202,211,6,2,6
202,225,6,2,6
204,208,6,2,6
204,230,6,2,6
205,207,4,13,6
205,226,4,2,6
205,269,4,12,6
206,256,4,2,6
207,306,13,1,6
208,259,2,4,6
209,248,5,11,6
209,257,5,3,6
214,298,7,3,6
215,283,3,5,6
216,225,5,2,6
216,266,5,3,6
219,308,1,2,6
222,276,4,9,6
223,307,12,10,6
227,283,2,5,6
229,251,2,10,6
229,261,2,6,6
230,259,2,4,6
238,306,8,1,6
240,268,4,13,6
241,263,2,5,6
245,267,2,1,6
245,271,2,4,6
245,310,2,5,6
246,252,8,15,6
246,301,8,1,6
247,300,3,5,6
258,264,3,5,6
261,302,6,2,6
264,290,5,3,6
264,299,5,2,6
265,279,11,6,6
265,283,11,5,6
276,289,9,4,6
277,279,2,6,6
278,293,2,4,6
281,284,5,2,6
282,303,17,16,6
286,292,4,9,6
295,302,6,2,6
442,12739,2,5,6
455,10641,5,2,6
1087,16783,3,5,6
1139,10199,10,2,6
1400,5260,11,5,6
2122,5711,4,9,6
2688,4539,6,8,6
2938,5708,18,11,6
3179,8595,7,3,6
3280,8802,8,15,6
3353,9544,11,18,6
3693,18028,7,3,6
3791,15589,3,7,6
3857,10648,14,13,6
3858,16442,5,2,6
3920,16036,6,11,6
4228,5520,11,5,6
4236,15990,2,10,6
4469,14648,11,5,6
4962,15791,2,4,6
5431,13979,6,11,6
6011,11530,2,4,6
7018,13714,1,2,6
7163,19765,3,7,6
7164,14729,1,13,6
7249,16551,8,6,6
7794,15570,5,2,6
8152,19646,8,6,6
8319,18043,2,5,6
8362,11442,5,3,6
8677,13251,6,11,6
8791,15237,2,6,6
9123,15378,5,11,6
9291,10535,7,3,6
9375,17571,3,7,6
9444,15672,6,11,6
10412,18821,11,6,6
10487,13028,11,5,6
11750,17863,7,3,6
12547,13010,5,3,6
12812,13879,3,5,6
13168,17005,3,7,6
13269,17564,5,11,6
14791,15195,5,11,6
15894,18158,3,7,6
16437,17997,2,6,6
