global_index_zero_based,source_file,line_number_one_based,solution_sha256,direction_counts_bits_0_to_6,dimension_profile_sorted,squares_with_1_edge,squares_with_3_edges
34,q7_edges_304.jsonl.part1,35,2f2649ae9c4d1c901ba5a88f9825689de3cc19de1b742d86f5d66dbfd3aebec7,46;42;46;42;42;46;40,46;46;46;42;42;42;40,96,576
59,q7_edges_304.jsonl.part1,60,45da003b33d1243ea2031c7fec60bb8bdaea8da1358df2bf5fac51b13ea9b229,42;46;42;46;46;42;40,46;46;46;42;42;42;40,96,576
112,q7_edges_304.jsonl.part1,113,ff7a7fdd257a08942f42948af70c6e878c24372a0b5cc887204f526cc3e387e7,44;44;44;44;44;44;40,44;44;44;44;44;44;40,96,576
122,q7_edges_304.jsonl.part1,123,5e874dac14a1b7f6da726f6b2599c41b0a3051c153d68a40a96eb7027422f0ce,40;48;40;48;48;40;40,48;48;48;40;40;40;40,96,576
170,q7_edges_304.jsonl.part1,171,889938a5a98013740114d49ccfb66e21e005df0b5ecd1cd08aafea30c48003f9,48;40;48;40;40;48;40,48;48;48;40;40;40;40,96,576
192,q7_edges_304.jsonl.part1,193,daa880d4778fa29fab242d2a3c33a09504394783b3b8e0c1e05257f49716b4b8,44;44;44;42;44;44;42,44;44;44;44;44;42;42,96,576
281,q7_edges_304.jsonl.part1,282,3c3962f2c2df69d8c1d469f1a61f12a267f22176310597e1355558ef28ce810b,46;40;46;42;42;46;42,46;46;46;42;42;42;40,96,576
331,q7_edges_304.jsonl.part1,332,6277a396d2686cae1aadc83f564a396e2d15fbc9ac9037c78eb398cc8e77745d,44;42;44;42;44;44;44,44;44;44;44;44;42;42,96,576
420,q7_edges_304.jsonl.part1,421,035c9e5777f793dc13fcef019d573ec981e6f0c70ce274c2cabaa0b8a5882833,44;44;42;44;42;44;44,44;44;44;44;44;42;42,96,576
579,q7_edges_304.jsonl.part1,580,835fb107c679309264dea84fd465fe08e00d014a09aefa4819e3ff3515d4fc05,40;40;48;48;48;40;40,48;48;48;40;40;40;40,96,576
619,q7_edges_304.jsonl.part1,620,b88659d9963f06ae5c65804949e2acee73f08a7c713bb3f059fcc8e1c3e5cd8a,44;44;40;44;44;44;44,44;44;44;44;44;44;40,96,576
742,q7_edges_304.jsonl.part1,743,451043ed4ff1ed331e46e16656b7bc0224275f99039bee2ed15d4de8ef9d2292,44;44;42;44;44;44;42,44;44;44;44;44;42;42,96,576
831,q7_edges_304.jsonl.part1,832,0efee9145966fd0055f255960e2c8969f9a423820c883ccbc4e919fb7ba2e41e,40;48;40;48;40;40;48,48;48;48;40;40;40;40,96,576
876,q7_edges_304.jsonl.part1,877,900ec62b5ee74fe8b806cf7131851445878e4d2e16cc201074786c899fe092a3,42;44;44;44;44;44;42,44;44;44;44;44;42;42,96,576
895,q7_edges_304.jsonl.part1,896,385bc1c03baf8816355f5a3ad4a7d293bc1615bae96f3b16526ac9f532d35b87,42;44;42;44;44;44;44,44;44;44;44;44;42;42,96,576
965,q7_edges_304.jsonl.part1,966,8aa39a00d2b362596c7010120d74787786e28e69744a69edab8876b7896b3df2,44;44;44;44;44;44;40,44;44;44;44;44;44;40,96,576
978,q7_edges_304.jsonl.part1,979,0e1860586066946b003172a58325ad530ba6f4f38ea4f2a3c786e235b4cdd8b9,46;46;42;42;40;46;42,46;46;46;42;42;42;40,96,576
1027,q7_edges_304.jsonl.part1,1028,c16343e595f5b80627b4e9d88bcda6eb2245ab25a23191d053af158ac1577739,44;44;44;44;44;40;44,44;44;44;44;44;44;40,96,576
1136,q7_edges_304.jsonl.part1,1137,691b084ca79128d9529171492e1f258e60d0783636bff77392eaf37d0607aef3,44;44;44;40;44;44;44,44;44;44;44;44;44;40,96,576
1218,q7_edges_304.jsonl.part1,1219,09a1b3f30a19c311af741cd982add35a6d52a69b4158082bbdf1eac072dd4687,42;44;42;44;44;44;44,44;44;44;44;44;42;42,96,576
1444,q7_edges_304.jsonl.part1,1445,50587ed4ca2541a785ca21b2db8efe84d12598f4616c63445d13cc9b1d54b189,44;44;44;40;44;44;44,44;44;44;44;44;44;40,96,576
1478,q7_edges_304.jsonl.part1,1479,f36cb041e9035b82b47eda9748abf2af65cb02eb4b307b06267a3c504f52af5f,40;40;40;48;48;40;48,48;48;48;40;40;40;40,96,576
1620,q7_edges_304.jsonl.part1,1621,ff0ba7a5a8a9198bb2bac481db9dc0da7944fa68e881fb7604c2bd89c98068fb,46;46;42;42;42;40;46,46;46;46;42;42;42;40,96,576
1621,q7_edges_304.jsonl.part1,1622,c3d17be0d37d0902de1016834af88490b924847302e7d05c001be10bc482649c,48;48;40;48;40;40;40,48;48;48;40;40;40;40,96,576
2252,q7_edges_304.jsonl.part1,2253,937929ec05aca027730f4a83ef8ab5242654e80139043f15e1fff5ffd059356b,40;48;48;40;48;40;40,48;48;48;40;40;40;40,96,576
2267,q7_edges_304.jsonl.part1,2268,0ce51aa31f79be5add09603cc777c4108a013c2cb03dbddd15f20148133a7d9f,44;44;44;44;40;44;44,44;44;44;44;44;44;40,96,576
2332,q7_edges_304.jsonl.part1,2333,d94dbe9848cde7214b157df1371bd3e86425c08be6299e828e84f141c089ddba,44;44;44;44;44;40;44,44;44;44;44;44;44;40,96,576
2488,q7_edges_304.jsonl.part1,2489,fe5efdeea45200c2ab3bbead95e88c580cb3b2f8a3787f5833eb452dbbaeabff,40;48;48;40;48;40;40,48;48;48;40;40;40;40,96,576
2627,q7_edges_304.jsonl.part1,2628,73480ff4e50c9483e7bf52900fd715881ba9804932d0253cbdc765a4a1b526a8,48;40;40;40;48;48;40,48;48;48;40;40;40;40,96,576
2725,q7_edges_304.jsonl.part1,2726,b65759b66c9ca6a952428ec643049dfbcb42f8bad5b6ab11bb7b19c92c9f9765,48;40;40;48;40;48;40,48;48;48;40;40;40;40,96,576
2858,q7_edges_304.jsonl.part1,2859,a355307098293f30cc8030197044201437f857b54ea1d7dee263088c00c9cbee,48;40;40;40;48;40;48,48;48;48;40;40;40;40,96,576
2929,q7_edges_304.jsonl.part1,2930,3bf4b8907e7ad2780c9b733e99064ce2a27a8be85dc0b5cd2d4b32bf8d036d70,40;44;44;44;44;44;44,44;44;44;44;44;44;40,96,576
2938,q7_edges_304.jsonl.part1,2939,c03f99325b3b19a89f335b572c0f6e49020532294ab6af9d3455697b58a68d68,40;40;48;48;40;40;48,48;48;48;40;40;40;40,96,576
2968,q7_edges_304.jsonl.part1,2969,d08a97fed47c2cde86c14998fdf909decc1d4cf873ba318439be81d84f5ed441,44;44;42;42;44;44;44,44;44;44;44;44;42;42,96,576
3017,q7_edges_304.jsonl.part1,3018,65cc666705d0d19277c5b3d57134bfc2263162763e2ebf1452be6684b3bf5c35,40;46;42;46;42;42;46,46;46;46;42;42;42;40,96,576
3030,q7_edges_304.jsonl.part1,3031,3b97bb3f341220393a3b635272081eced6ed1334f75ad87420f7d6dfebb32d43,42;46;42;46;46;42;40,46;46;46;42;42;42;40,96,576
3087,q7_edges_304.jsonl.part1,3088,51f34ab9b48ea600218e0a9144f41eefea75da1083b422a0b55b15e15df0a445,40;40;48;48;40;48;40,48;48;48;40;40;40;40,96,576
3139,q7_edges_304.jsonl.part1,3140,9985fa4389b4b98f0194f2ee1c9938e39f5d681eba53a5a1b2bbb9cc3314c0e5,44;44;42;44;44;44;42,44;44;44;44;44;42;42,96,576
3169,q7_edges_304.jsonl.part1,3170,7afa6c8b97a59baf288f5dc9bc1093ccd795bdfbc282d2b75fadb9d80bd431b7,40;46;42;42;42;46;46,46;46;46;42;42;42;40,96,576
3229,q7_edges_304.jsonl.part1,3230,d95b3c3f976cf63e03c4df88e16455a8f42604bb0058941fd4b562171150f05e,44;44;44;44;44;40;44,44;44;44;44;44;44;40,96,576
3274,q7_edges_304.jsonl.part1,3275,f503f4da86926b0dbfd4f42be1540a71ceeb1c3f5e501b71236ef4182f306416,48;40;48;48;40;40;40,48;48;48;40;40;40;40,96,576
