type18_ordinal_one_based,global_index_zero_based,source_file,line_number_one_based,direction_counts_bits_0_to_6,high_48_directions,stabilizer_size,direction_moving_automorphisms,order3_high_cycle_automorphisms,direction_witness_permutation_old_to_new,direction_witness_xor_mask,order3_witness_permutation_old_to_new,order3_witness_xor_mask,order3_witness_high_cycle
1,122,q7_edges_304.jsonl.part1,123,40;48;40;48;48;40;40,1;3;4,24,12,0,0;3;2;1;4;5;6,64,,,
2,170,q7_edges_304.jsonl.part1,171,48;40;48;40;40;48;40,0;2;5,72,60,6,0;1;5;3;4;2;6,90,2;1;5;3;4;0;6,5,(0 2 5)
3,579,q7_edges_304.jsonl.part1,580,40;40;48;48;48;40;40,2;3;4,24,12,0,0;1;2;4;3;5;6,32,,,
4,831,q7_edges_304.jsonl.part1,832,40;48;40;48;40;40;48,1;3;6,72,60,6,0;1;2;6;4;5;3,53,0;3;2;6;4;5;1,10,(1 3 6)
5,1478,q7_edges_304.jsonl.part1,1479,40;40;40;48;48;40;48,3;4;6,72,60,6,0;1;2;3;6;5;4,45,0;1;2;4;6;5;3,72,(3 4 6)
6,1621,q7_edges_304.jsonl.part1,1622,48;48;40;48;40;40;40,0;1;3,24,12,0,0;3;2;1;4;5;6,16,,,
7,2252,q7_edges_304.jsonl.part1,2253,40;48;48;40;48;40;40,1;2;4,24,12,0,0;4;2;3;1;5;6,82,,,
8,2488,q7_edges_304.jsonl.part1,2489,40;48;48;40;48;40;40,1;2;4,24,12,0,0;1;4;3;2;5;6,8,,,
9,2627,q7_edges_304.jsonl.part1,2628,48;40;40;40;48;48;40,0;4;5,24,12,0,0;1;2;3;5;4;6,8,,,
10,2725,q7_edges_304.jsonl.part1,2726,48;40;40;48;40;48;40,0;3;5,24,12,0,3;1;2;0;4;5;6,16,,,
11,2858,q7_edges_304.jsonl.part1,2859,48;40;40;40;48;40;48,0;4;6,24,12,0,0;1;2;3;6;5;4,8,,,
12,2938,q7_edges_304.jsonl.part1,2939,40;40;48;48;40;40;48,2;3;6,24,12,0,0;1;6;3;4;5;2,84,,,
