seed,iterations_budget,best_dist,best_hist,hit
20261200,300000,6,"{-6:1,0:2,2:86,4:38,6:1}",false
20261201,300000,6,"{0:2,2:86,4:38,6:2}",false
20261202,300000,6,"{-6:1,0:2,2:86,4:38,6:1}",false
20261203,300000,6,"{-6:1,0:2,2:86,4:38,6:1}",false
20261204,300000,6,"{-6:1,0:2,2:86,4:38,6:1}",false
20261205,300000,6,"{0:2,2:86,4:38,6:2}",false
20261206,300000,6,"{-6:1,0:2,2:86,4:38,6:1}",false
20261207,300000,0,"{2:87,4:40,6:1}",true
20261208,300000,6,"{0:2,2:86,4:38,6:2}",false
20261209,300000,6,"{-6:1,0:2,2:86,4:38,6:1}",false
20261210,300000,6,"{0:2,2:86,4:38,6:2}",false
20261211,300000,8,"{-4:1,0:3,2:83,4:40,6:1}",false
20261212,300000,6,"{0:2,2:86,4:38,6:2}",false
20261213,300000,6,"{-6:1,0:2,2:86,4:38,6:1}",false
20261214,300000,6,"{-6:1,0:2,2:86,4:38,6:1}",false
20261215,300000,6,"{-6:1,0:2,2:86,4:38,6:1}",false
20261216,300000,6,"{0:2,2:86,4:38,6:2}",false
20261217,300000,6,"{-6:1,0:2,2:86,4:38,6:1}",false
20261218,300000,0,"{2:87,4:40,6:1}",true
20261219,300000,6,"{-6:1,0:2,2:86,4:38,6:1}",false
